id	title	author	date	other works	nouns	adjectives	places	persons	verbs	material objects	adverbs
260496	Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.	Weston, Anna Maria	1814		['fate', 'novel', 'pain', 'pleasure']			['Anna Maria Weston', 'Ellen']			
260498	Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.	Hawkins, Laetitia Matilda	1814		['Advertisement', 'Christianity', 'Countess', 'Errata', "Ladyship's", 'advantages', 'esteem', 'example', 'father', 'labour', 'practice', 'sentiment', 'servant']	['honourable', 'inestimable', 'lost', 'obedient', 'pure', 'right']	['Waldegrave']	['Elizabeth-Laura', 'Laetitia-Matilda Hawkins', 'Rosanne']			
260500	Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling	Orrery, Roger Boyle	1750		['adventure', 'court', 'history', 'king', 'paper', 'party', 'person', 'pleasure', 'price', 'quality', 'shilling']	['Royal', 'amorous', 'original']		['King Henry the Eighth']			
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720		['island', 'manner', 'memoir', 'person', 'sex']	['Italian', 'Secret', 'both', 'new', 'quality', 'several']	['Atalantis', 'Mediterranean']				
260508	Tales of fancy, by S.H. Burney. Author of 'Clarentine,' 'Geraldine Fauconberg,' and 'Traits of nature. ' The shipwreck.	Burney, Sarah Harriet	1816		['Author', 'Country', 'Dedication', 'Highness, the', 'Princess', 'Trait', 'country', 'fancy', 'nature', 'neighbour', 'permission', 'respect', 'secret', 'servant', 'shipwreck', 'tale']	['Royal', 'gracious', 'hereditary', 'hon.', 'humble', 'obedient', 'profound', 'right']	['Hesse Hombourg']	['', 'Clarentine', 'Geraldine Fauconberg', 'Lady Crewe', 'Princess Elizabeth', 'S.H. Burney', 'Sarah Harriet Burney']			
260658	St. Leon: a tale of the sixteenth century.  By William Godwin.  The third edition.  In four volumes.	Godwin, William	1816		['century', 'tale', 'travel']	['sixteenth']		['St. Leon', 'William Godwin']			
260660	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in imitation of the manner of Cervantes, author of Don Quixote. By Henry Fielding, Esq.	Fielding, Henry	1810		['adventure', 'author', 'friend', 'history', 'imitation', 'manner', 'preface.', 'remark']	['introductory']	['London', 'Paternoster Row', 'St. Pauls Church Yard']	['Cervantes', 'Don Quixote', 'Henry Fielding, Esq.', 'J. Harris', 'J. Walker', 'Joseph Andrews', 'Mr. Abraham Adams']			
260661	The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.	Bunyan, John	1811		['dream', 'pilgrim', 'progress', 'similitude', 'world']	['delivered']		['John Bunyan']			
260662	Tales of the East:  comprising the most popular romances of oriental origin, and the best imitations by European authors: with new translations, and additional tales, never before published. To which is prefixed an introductory dissertation, containing an account of each work, and of its author, or translator, by Henry Weber, Esq.  In three volumes. Volume the first, containing the Arabian nights, and new Arabian nights' entertainments.	Weber, Henry William	1812		['', 'account', 'author', 'content', 'dissertation', 'entertainment', 'genii', 'history', 'imitation', 'night', 'origin', 'romances', 'son', 'tale', 'translation', 'translator', 'work']	['Arabian', 'Chinese', 'European', 'Mogul', 'Oriental', 'Persian', 'Tartarian', 'Turkish', 'additional', 'best', 'introductory', 'new', 'popular']	['Arabian', 'Delhi', 'East']	['Abdalla', 'Hanif', 'Henry Weber, Esq', 'Inatulla', 'Nourjahad']			
260663	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Haywood, Eliza Fowler	1745		['accident', 'adventure', 'character', 'condition', 'court', 'entertainment', 'foundling', 'history', 'improvement', 'issue', 'person', 'sex', 'sister', 'son', 'travel', 'whole', 'youth']	['both', 'fortunate', 'genuine', 'late', 'many', 'most', 'polite', 'several', 'wonderful']	['Europe']	['Colonel M----rs', 'Duke of R--l--d', 'Madam du P---y']			
260664	The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.	Haywood, Eliza Fowler	1745		['accident', 'adventure', 'character', 'condition', 'court', 'entertainment', 'foundling', 'history', 'improvement', 'issue', 'person', 'preface', 'sex', 'sister', 'son', 'travel', 'whole', 'youth']	['both', 'fortunate', 'genuine', 'late', 'many', 'most', 'polite', 'several', 'wonderful']	['Europe']	['Colonel M----rs', 'Duke of R--l--d', 'Madam du P---y']			
260666	The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.	Edgeworth, Maria	1810		['assistant', 'author', 'edition', 'essay', 'lady', 'letter', 'life', 'parent', 'science', 'self-justification', 'tale']	['American', 'fashionable', 'literary', 'modern', 'moral', 'noble']		['Griselda', 'Miss Edgeworth']			
260667		Edgeworth, Maria	1810		['essay', 'lady', 'letter', 'science', 'self-justification']	['literary', 'noble']		['Miss Edgeworth']			
260668		Bunyan, John	1810		['author', 'gospel', 'metropolis', 'minister', 'pilgrim', 'progress', 'relation', 'town', 'war', 'works', 'world']	['holy', 'late', 'true', 'valuable']		['Bedford', 'Diabolus,', 'King Shaddai', 'Mansoul', 'Mr. John Bunyan']			
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817		['Recluse', 'author', 'friends', 'knight', 'romance']	['dear']	['Norway']	['Miss Anna Maria Porter', 'St. John']			
260671	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.	Porter, Anna Maria	1817		['Recluse', 'author', 'friends', 'knight', 'romance']	['dear']	['Norway']	['Miss Anna Maria Porter', 'St. John']			
260673	Clarentine, a novel. By Miss Burney, Author of  ""Geraldine Fauconberg,"" ""Traits of nature,"" &c. Second edition. In Three volumes. Vol. I.	Burney, Sarah Harriet	1816	['Geraldine Fauconberg', 'Traits of nature']	['Author', 'novel', 'volumes']			['Clarentine', 'Miss Burney']			
260674	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.	Holberg, Ludvig	1742		['journey', 'world']	['original', 'under-ground']		['Nicholas Klimius']			
260675	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742		['adventure', 'busy-body', 'faculty', 'fortune', 'history', 'man', 'obscurity', 'rashness', 'spy', 'story', 'variety', 'whole']	['diverting', 'enterprising', 'entertaining', 'equally', 'great', 'humorous', 'infinitely', 'inquisitive', 'instructive', 'lowest', 'most', 'several', 'splendid', 'successful', 'unhappy']		['', 'Mons. Bigand']			['nevertheless']
260676	The busy-body: or, successful spy: being the entertaining history of Mons. Bigand, a man infinitely inquisitive and enterprising even to rashness; which unhappy faculties, nevertheless, instead of ruining, raised him from the lowest obscurity, to a most splendid fortune. Interspersed with several humorous stories. The whole containing great variety and adventures, equally instructive and diverting. Vol. I.	Mouhy, Charles de Fieux	1742		['adventure', 'busy-body', 'faculty', 'fortune', 'history', 'man', 'obscurity', 'preface', 'rashness', 'spy', 'story', 'variety', 'whole']	['diverting', 'enterprising', 'entertaining', 'equally', 'great', 'humorous', 'infinitely', 'inquisitive', 'instructive', 'lowest', 'most', 'several', 'splendid', 'successful', 'unhappy']		['Mons. Bigand']			['containing']
260680		Ryley, S. W	1810		['Memoirs', 'actor', 'itinerant', 'volumes']			['S.W. Ryley']			
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817		['actor', 'content', 'edition', 'itinerant', 'memoir', 'preface', 'volume']	['first', 'second', 'third']		['S.W. Ryley.', 'William Roscoe, Esq.']			
260684	The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.	Ryley, S. W	1816		['Preface', 'Vol. IV.', 'actor.', 'content', 'itinerant', 'memoir']			['S. W. Ryley.', 'William Roscoe, Esq.']			
260685	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	More, Hannah	1813		['edition', 'habits', 'manners', 'morals', 'observations', 'religion', 'search', 'volumes', 'wife']	['domestic']		['Coelebs']	['Comprehending']		
